 F		G
 1.00000000e-02 -1.81340527e+01 
 1.02329299e-02 -1.80092127e+01 
 1.04712855e-02 -1.78823437e+01 
 1.07151931e-02 -1.77534781e+01 
 1.09647820e-02 -1.76226503e+01 
 1.12201845e-02 -1.74898963e+01 
 1.14815362e-02 -1.73552536e+01 
 1.17489755e-02 -1.72187613e+01 
 1.20226443e-02 -1.70804601e+01 
 1.23026877e-02 -1.69403917e+01 
 1.25892541e-02 -1.67985991e+01 
 1.28824955e-02 -1.66551265e+01 
 1.31825674e-02 -1.65100189e+01 
 1.34896288e-02 -1.63633224e+01 
 1.38038426e-02 -1.62150837e+01 
 1.41253754e-02 -1.60653504e+01 
 1.44543977e-02 -1.59141704e+01 
 1.47910839e-02 -1.57615926e+01 
 1.51356125e-02 -1.56076658e+01 
 1.54881662e-02 -1.54524396e+01 
 1.58489319e-02 -1.52959637e+01 
 1.62181010e-02 -1.51382881e+01 
 1.65958691e-02 -1.49794629e+01 
 1.69824365e-02 -1.48195383e+01 
 1.73780083e-02 -1.46585648e+01 
 1.77827941e-02 -1.44965926e+01 
 1.81970086e-02 -1.43336720e+01 
 1.86208714e-02 -1.41698533e+01 
 1.90546072e-02 -1.40051868e+01 
 1.94984460e-02 -1.38397224e+01 
 1.99526231e-02 -1.36735102e+01 
 2.04173794e-02 -1.35065998e+01 
 2.08929613e-02 -1.33390410e+01 
 2.13796209e-02 -1.31708833e+01 
 2.18776162e-02 -1.30021759e+01 
 2.23872114e-02 -1.28329681e+01 
 2.29086765e-02 -1.26633087e+01 
 2.34422882e-02 -1.24932466e+01 
 2.39883292e-02 -1.23228306e+01 
 2.45470892e-02 -1.21521091e+01 
 2.51188643e-02 -1.19811305e+01 
 2.57039578e-02 -1.18099433e+01 
 2.63026799e-02 -1.16385956e+01 
 2.69153480e-02 -1.14671357e+01 
 2.75422870e-02 -1.12956115e+01 
 2.81838293e-02 -1.11240713e+01 
 2.88403150e-02 -1.09525630e+01 
 2.95120923e-02 -1.07811349e+01 
 3.01995172e-02 -1.06098350e+01 
 3.09029543e-02 -1.04387115e+01 
 3.16227766e-02 -1.02678127e+01 
 3.23593657e-02 -1.00971869e+01 
 3.31131121e-02 -9.92688268e+00 
 3.38844156e-02 -9.75694852e+00 
 3.46736850e-02 -9.58743318e+00 
 3.54813389e-02 -9.41838554e+00 
 3.63078055e-02 -9.24985466e+00 
 3.71535229e-02 -9.08188972e+00 
 3.80189396e-02 -8.91454010e+00 
 3.89045145e-02 -8.74785533e+00 
 3.98107171e-02 -8.58188511e+00 
 4.07380278e-02 -8.41667929e+00 
 4.16869383e-02 -8.25228786e+00 
 4.26579519e-02 -8.08876093e+00 
 4.36515832e-02 -7.92614871e+00 
 4.46683592e-02 -7.76450149e+00 
 4.57088190e-02 -7.60386960e+00 
 4.67735141e-02 -7.44430339e+00 
 4.78630092e-02 -7.28585315e+00 
 4.89778819e-02 -7.12856912e+00 
 5.01187234e-02 -6.97250138e+00 
 5.12861384e-02 -6.81769983e+00 
 5.24807460e-02 -6.66421412e+00 
 5.37031796e-02 -6.51209358e+00 
 5.49540874e-02 -6.36138714e+00 
 5.62341325e-02 -6.21214326e+00 
 5.75439937e-02 -6.06440984e+00 
 5.88843655e-02 -5.91823416e+00 
 6.02559586e-02 -5.77366275e+00 
 6.16595002e-02 -5.63074132e+00 
 6.30957344e-02 -5.48951465e+00 
 6.45654229e-02 -5.35002651e+00 
 6.60693448e-02 -5.21231953e+00 
 6.76082975e-02 -5.07643512e+00 
 6.91830971e-02 -4.94241335e+00 
 7.07945784e-02 -4.81029286e+00 
 7.24435960e-02 -4.68011072e+00 
 7.41310241e-02 -4.55190239e+00 
 7.58577575e-02 -4.42570154e+00 
 7.76247117e-02 -4.30154004e+00 
 7.94328235e-02 -4.17944778e+00 
 8.12830516e-02 -4.05945262e+00 
 8.31763771e-02 -3.94158033e+00 
 8.51138038e-02 -3.82585445e+00 
 8.70963590e-02 -3.71229628e+00 
 8.91250938e-02 -3.60092475e+00 
 9.12010839e-02 -3.49175643e+00 
 9.33254301e-02 -3.38480542e+00 
 9.54992586e-02 -3.28008334e+00 
 9.77237221e-02 -3.17759932e+00 
 1.00000000e-01 -3.07735993e+00 
 1.02329299e-01 -2.97936918e+00 
 1.04712855e-01 -2.88362856e+00 
 1.07151931e-01 -2.79013701e+00 
 1.09647820e-01 -2.69889094e+00 
 1.12201845e-01 -2.60988426e+00 
 1.14815362e-01 -2.52310845e+00 
 1.17489755e-01 -2.43855255e+00 
 1.20226443e-01 -2.35620328e+00 
 1.23026877e-01 -2.27604506e+00 
 1.25892541e-01 -2.19806009e+00 
 1.28824955e-01 -2.12222846e+00 
 1.31825674e-01 -2.04852821e+00 
 1.34896288e-01 -1.97693543e+00 
 1.38038426e-01 -1.90742437e+00 
 1.41253754e-01 -1.83996753e+00 
 1.44543977e-01 -1.77453577e+00 
 1.47910839e-01 -1.71109845e+00 
 1.51356125e-01 -1.64962351e+00 
 1.54881662e-01 -1.59007758e+00 
 1.58489319e-01 -1.53242614e+00 
 1.62181010e-01 -1.47663359e+00 
 1.65958691e-01 -1.42266341e+00 
 1.69824365e-01 -1.37047824e+00 
 1.73780083e-01 -1.32004000e+00 
 1.77827941e-01 -1.27131001e+00 
 1.81970086e-01 -1.22424912e+00 
 1.86208714e-01 -1.17881775e+00 
 1.90546072e-01 -1.13497606e+00 
 1.94984460e-01 -1.09268402e+00 
 1.99526231e-01 -1.05190150e+00 
 2.04173794e-01 -1.01258836e+00 
 2.08929613e-01 -9.74704545e-01 
 2.13796209e-01 -9.38210145e-01 
 2.18776162e-01 -9.03065491e-01 
 2.23872114e-01 -8.69231212e-01 
 2.29086765e-01 -8.36668303e-01 
 2.34422882e-01 -8.05338180e-01 
 2.39883292e-01 -7.75202742e-01 
 2.45470892e-01 -7.46224415e-01 
 2.51188643e-01 -7.18366198e-01 
 2.57039578e-01 -6.91591704e-01 
 2.63026799e-01 -6.65865196e-01 
 2.69153480e-01 -6.41151617e-01 
 2.75422870e-01 -6.17416619e-01 
 2.81838293e-01 -5.94626585e-01 
 2.88403150e-01 -5.72748650e-01 
 2.95120923e-01 -5.51750715e-01 
 3.01995172e-01 -5.31601464e-01 
 3.09029543e-01 -5.12270367e-01 
 3.16227766e-01 -4.93727694e-01 
 3.23593657e-01 -4.75944514e-01 
 3.31131121e-01 -4.58892697e-01 
 3.38844156e-01 -4.42544917e-01 
 3.46736850e-01 -4.26874645e-01 
 3.54813389e-01 -4.11856145e-01 
 3.63078055e-01 -3.97464469e-01 
 3.71535229e-01 -3.83675449e-01 
 3.80189396e-01 -3.70465684e-01 
 3.89045145e-01 -3.57812533e-01 
 3.98107171e-01 -3.45694102e-01 
 4.07380278e-01 -3.34089228e-01 
 4.16869383e-01 -3.22977473e-01 
 4.26579519e-01 -3.12339098e-01 
 4.36515832e-01 -3.02155059e-01 
 4.46683592e-01 -2.92406986e-01 
 4.57088190e-01 -2.83077165e-01 
 4.67735141e-01 -2.74148526e-01 
 4.78630092e-01 -2.65604626e-01 
 4.89778819e-01 -2.57429629e-01 
 5.01187234e-01 -2.49608291e-01 
 5.12861384e-01 -2.42125944e-01 
 5.24807460e-01 -2.34968478e-01 
 5.37031796e-01 -2.28122324e-01 
 5.49540874e-01 -2.21574438e-01 
 5.62341325e-01 -2.15312285e-01 
 5.75439937e-01 -2.09323820e-01 
 5.88843655e-01 -2.03597476e-01 
 6.02559586e-01 -1.98122145e-01 
 6.16595002e-01 -1.92887162e-01 
 6.30957344e-01 -1.87882293e-01 
 6.45654229e-01 -1.83097718e-01 
 6.60693448e-01 -1.78524016e-01 
 6.76082975e-01 -1.74152150e-01 
 6.91830971e-01 -1.69973456e-01 
 7.07945784e-01 -1.65979628e-01 
 7.24435960e-01 -1.62162701e-01 
 7.41310241e-01 -1.58515047e-01 
 7.58577575e-01 -1.55029352e-01 
 7.76247117e-01 -1.51698611e-01 
 7.94328235e-01 -1.48516116e-01 
 8.12830516e-01 -1.45475439e-01 
 8.31763771e-01 -1.42570429e-01 
 8.51138038e-01 -1.39795195e-01 
 8.70963590e-01 -1.37144096e-01 
 8.91250938e-01 -1.34611737e-01 
 9.12010839e-01 -1.32192952e-01 
 9.33254301e-01 -1.29882800e-01 
 9.54992586e-01 -1.27676552e-01 
 9.77237221e-01 -1.25569736e-01 
 1.00000000e+00 -1.23557928e-01 
 1.02329299e+00 -1.21637042e-01 
 1.04712855e+00 -1.19803123e-01 
 1.07151931e+00 -1.18052390e-01 
 1.09647820e+00 -1.16381230e-01 
 1.12201845e+00 -1.14786189e-01 
 1.14815362e+00 -1.13263967e-01 
 1.17489755e+00 -1.11811412e-01 
 1.20226443e+00 -1.10425512e-01 
 1.23026877e+00 -1.09103390e-01 
 1.25892541e+00 -1.07842300e-01 
 1.28824955e+00 -1.06639620e-01 
 1.31825674e+00 -1.05492847e-01 
 1.34896288e+00 -1.04399592e-01 
 1.38038426e+00 -1.03357577e-01 
 1.41253754e+00 -1.02364628e-01 
 1.44543977e+00 -1.01418672e-01 
 1.47910839e+00 -1.00517733e-01 
 1.51356125e+00 -9.96599279e-02 
 1.54881662e+00 -9.88434629e-02 
 1.58489319e+00 -9.80666290e-02 
 1.62181010e+00 -9.73278481e-02 
 1.65958691e+00 -9.66254752e-02 
 1.69824365e+00 -9.59580867e-02 
 1.73780083e+00 -9.53242829e-02 
 1.77827941e+00 -9.47227340e-02 
 1.81970086e+00 -9.41521825e-02 
 1.86208714e+00 -9.36114200e-02 
 1.90546072e+00 -9.30993156e-02 
 1.94984460e+00 -9.26147933e-02 
 1.99526231e+00 -9.21568343e-02 
 2.04173794e+00 -9.17244758e-02 
 2.08929613e+00 -9.13168567e-02 
 2.13796209e+00 -9.09330221e-02 
 2.18776162e+00 -9.05722127e-02 
 2.23872114e+00 -9.02336688e-02 
 2.29086765e+00 -8.99166775e-02 
 2.34422882e+00 -8.96206197e-02 
 2.39883292e+00 -8.93447743e-02 
 2.45470892e+00 -8.90886573e-02 
 2.51188643e+00 -8.88516315e-02 
 2.57039578e+00 -8.86332459e-02 
 2.63026799e+00 -8.84330886e-02 
 2.69153480e+00 -8.82506402e-02 
 2.75422870e+00 -8.80856130e-02 
 2.81838293e+00 -8.79375617e-02 
 2.88403150e+00 -8.78062225e-02 
 2.95120923e+00 -8.76913183e-02 
 3.01995172e+00 -8.75926065e-02 
 3.09029543e+00 -8.75099804e-02 
 3.16227766e+00 -8.74430621e-02 
 3.23593657e+00 -8.73918119e-02 
 3.31131121e+00 -8.73561702e-02 
 3.38844156e+00 -8.73359642e-02 
