 F		 G
 1.00000000e-02  2.92967886e+01 
 1.02329299e-02  2.95834512e+01 
 1.04712855e-02  2.98663365e+01 
 1.07151931e-02  3.01453717e+01 
 1.09647820e-02  3.04204860e+01 
 1.12201845e-02  3.06916110e+01 
 1.14815362e-02  3.09586810e+01 
 1.17489755e-02  3.12216328e+01 
 1.20226443e-02  3.14804063e+01 
 1.23026877e-02  3.17349445e+01 
 1.25892541e-02  3.19851941e+01 
 1.28824955e-02  3.22311050e+01 
 1.31825674e-02  3.24726312e+01 
 1.34896288e-02  3.27097306e+01 
 1.38038426e-02  3.29423651e+01 
 1.41253754e-02  3.31705012e+01 
 1.44543977e-02  3.33941096e+01 
 1.47910839e-02  3.36131657e+01 
 1.51356125e-02  3.38276493e+01 
 1.54881662e-02  3.40375453e+01 
 1.58489319e-02  3.42428432e+01 
 1.62181010e-02  3.44435373e+01 
 1.65958691e-02  3.46396269e+01 
 1.69824365e-02  3.48311163e+01 
 1.73780083e-02  3.50180143e+01 
 1.77827941e-02  3.52003348e+01 
 1.81970086e-02  3.53780964e+01 
 1.86208714e-02  3.55513224e+01 
 1.90546072e-02  3.57200407e+01 
 1.94984460e-02  3.58842835e+01 
 1.99526231e-02  3.60440876e+01 
 2.04173794e-02  3.61994939e+01 
 2.08929613e-02  3.63505472e+01 
 2.13796209e-02  3.64972964e+01 
 2.18776162e-02  3.66397939e+01 
 2.23872114e-02  3.67780955e+01 
 2.29086765e-02  3.69122606e+01 
 2.34422882e-02  3.70423512e+01 
 2.39883292e-02  3.71684324e+01 
 2.45470892e-02  3.72905720e+01 
 2.51188643e-02  3.74088398e+01 
 2.57039578e-02  3.75233081e+01 
 2.63026799e-02  3.76340510e+01 
 2.69153480e-02  3.77411442e+01 
 2.75422870e-02  3.78446649e+01 
 2.81838293e-02  3.79446917e+01 
 2.88403150e-02  3.80413040e+01 
 2.95120923e-02  3.81345821e+01 
 3.01995172e-02  3.82246069e+01 
 3.09029543e-02  3.83114599e+01 
 3.16227766e-02  3.83952225e+01 
 3.23593657e-02  3.84759763e+01 
 3.31131121e-02  3.85538028e+01 
 3.38844156e-02  3.86287833e+01 
 3.46736850e-02  3.87009983e+01 
 3.54813389e-02  3.87705283e+01 
 3.63078055e-02  3.88374524e+01 
 3.71535229e-02  3.89018495e+01 
 3.80189396e-02  3.89637972e+01 
 3.89045145e-02  3.90233720e+01 
 3.98107171e-02  3.90806496e+01 
 4.07380278e-02  3.91357041e+01 
 4.16869383e-02  3.91886085e+01 
 4.26579519e-02  3.92394344e+01 
 4.36515832e-02  3.92882519e+01 
 4.46683592e-02  3.93351299e+01 
 4.57088190e-02  3.93801354e+01 
 4.67735141e-02  3.94233341e+01 
 4.78630092e-02  3.94647901e+01 
 4.89778819e-02  3.95045658e+01 
 5.01187234e-02  3.95427221e+01 
 5.12861384e-02  3.95793182e+01 
 5.24807460e-02  3.96144118e+01 
 5.37031796e-02  3.96480588e+01 
 5.49540874e-02  3.96803135e+01 
 5.62341325e-02  3.97112288e+01 
 5.75439937e-02  3.97408557e+01 
 5.88843655e-02  3.97692438e+01 
 6.02559586e-02  3.97964411e+01 
 6.16595002e-02  3.98224941e+01 
 6.30957344e-02  3.98474477e+01 
 6.45654229e-02  3.98713453e+01 
 6.60693448e-02  3.98942288e+01 
 6.76082975e-02  3.99161389e+01 
 6.91830971e-02  3.99371145e+01 
 7.07945784e-02  3.99571935e+01 
 7.24435960e-02  3.99764122e+01 
 7.41310241e-02  3.99948057e+01 
 7.58577575e-02  4.00124078e+01 
 7.76247117e-02  4.00292510e+01 
 7.94328235e-02  4.00453667e+01 
 8.12830516e-02  4.00607850e+01 
